;;ALBINO;;;
;;AQUA MOET;;;
;;AQUA PICCOLINI;;;
;;BISON;;;
;;BLACK NIGHT;;;
;;BQT AUTUMN RED;;;
;;BQT KING 2;;;
;;CAFE;;;
;;CHOIZ;;;
;;DIAM MIX;;;
;;FABIANA;;;
;;GEMENGD;;;
;;LUCIA;;;
;;MACY;;;
;;OKIBANA;;;
;;PICCOLINI;;;
;;PULSATILLA VULGARIS;;;
;;SURI;;;
;;TRAPDOOR;;;
;;VOLDEMORT;;;
;1BEAUCARNEA;RECURVATA;;;
;1BOLBLOEMEN;MIX;;;
;1CEROPEGIA;BOOG;;;
;1CEROPEGIA;PYRA;;;
;1CLUSIA ROSEA;PRINCESS;;;
;1CORDYLINE;GEMENGD;;;
;1CORDYLINE;RED STAR;;;
;1DRACAENA;CINTHO;;;
;1DRACAENA;COMPACTA;;;
;1DRACAENA;DER.WHITE;;;
;1DRACAENA;FRAGANS;;;
;1DRACAENA;GOLDEN COAST;;;
;1DRACAENA;LEMON 30/10;;;
;1DRACAENA;LEMON LIME;;;
;1DRACAENA;MAGENTA;;;
;1DRACAENA;MARGINATA;;;
;1DRACAENA;MASSANGEANA;;;
;1DRACAENA;STEUDNERI;;;
;1DRACAENA;WARNECKEI;;;
;1FLORAL FOAM CROSS;CROSS;;;
;1FLORAL FOAM CROSS;HEART;;;
;1FREESIA;SMARTY;;;
;1HAWORTHIA;BIG BAND;;;
;1HAWORTHIA;CONCOLOR;;;
;1HAWORTHIA;LI;;;
;1HAWORTHIA;OV;;;
;1OPUNTIA;520404;;;
;1OPUNTIA;530413;;;
;1PINUS;PINEA;;;
;1PLANTEN;E4084;;;
;1PLANTEN;MIX BLANC;;;
;1PLANTEN;MIX MINI;;;
;1PLANTEN;MIX ORANGE;;;
;1PLANTEN;MIX ROOD;;;
;1PLANTEN;MIX ROSE;;;
;1SCAEVOLA;AEMULA;;;
30010;Abelia ESTERNO;EDWARD GOUCHER;;ESTERNO;
30002;Abelia ESTERNO;FLORIBUNDA;;ESTERNO;
319116;Abelia ESTERNO;GRANDIFLORA SUNSHINE DAYDREAM;X 6;ESTERNO;
9115;Abelia ESTERNO;OVERIG;;ESTERNO;
30003;Abelia ESTERNO;X GRANDIFLORA;;ESTERNO;
319650;Abelia ESTERNO;X GRANDIFLORA COMPACTA;X 6;ESTERNO;
53071;Abelia ESTERNO;X GRANDIFLORA CONFETTI;;ESTERNO;
30004;Abelia ESTERNO;X GRANDIFLORA FRANCIS MASON;;ESTERNO;
30005;Abelia ESTERNO;X GRANDIFLORA GOLD SPOT;;ESTERNO;
57837;Abelia ESTERNO;X GRANDIFLORA HOPLEYS;X 6;ESTERNO;
317663;Abelia ESTERNO;X GRANDIFLORA KALEIDOSCOPE;X 6;ESTERNO;
37049;ABETE ESTERNO;ALBA;;ESTERNO;
37056;ABETE ESTERNO;BALSAMEA HUDSONIA;;ESTERNO;
37057;ABETE ESTERNO;BALSAMEA NANA;;ESTERNO;
4108;ABETE ESTERNO;BLAUW;;ESTERNO;
37063;ABETE ESTERNO;CONCOLOR;;ESTERNO;
37070;ABETE ESTERNO;CONCOLOR VIOLACEA;;ESTERNO;
37077;ABETE ESTERNO;FRASERI;;ESTERNO;
37078;ABETE ESTERNO;GRANDIS;;ESTERNO;
4111;ABETE ESTERNO;GROEN;;ESTERNO;
37081;ABETE ESTERNO;HOMOLEPIS;;ESTERNO;
37083;ABETE ESTERNO;KOREANA;;ESTERNO;
37084;ABETE ESTERNO;KOREANA BLAUER PFIFF;;ESTERNO;
48494;ABETE ESTERNO;KOREANA LUMINETTA;;ESTERNO;
37090;ABETE ESTERNO;KOREANA SILBERLOCKE;;ESTERNO;
37096;ABETE ESTERNO;LASIOCARPA COMPACTA;;ESTERNO;
37099;ABETE ESTERNO;NORDMANNIANA;;ESTERNO;
37101;ABETE ESTERNO;NORDMANNIANA GOLDEN SPREADER;;ESTERNO;
37106;ABETE ESTERNO;NUMIDICA PENDULA;;ESTERNO;
37109;ABETE ESTERNO;PINSAPO GLAUCA;;ESTERNO;
37112;ABETE ESTERNO;PROCERA;;ESTERNO;
37115;ABETE ESTERNO;PROCERA GLAUCA;;ESTERNO;
37121;ABETE ESTERNO;VEITCHII;;ESTERNO;
16195;Abutilon ESTERNO;BELLA GEMENGD;;ESTERNO;
28402;Abutilon ESTERNO;BELLA YELLOW;H 70;ESTERNO;
8787;Abutilon ESTERNO;CANARY BIRD;H 110;ESTERNO;
13834;Abutilon ESTERNO;GEMENGD;;ESTERNO;
100493;Abutilon ESTERNO;GEMENGD;;ESTERNO;
13833;Abutilon ESTERNO;GEMENGD OP STAM;;ESTERNO;
26243;Abutilon ESTERNO;LITTLE SUN RED;X 70;ESTERNO;
47511;Abutilon ESTERNO;MEGAPOTAMICUM;;ESTERNO;
90003;Abutilon ESTERNO;MEGAPOTAMICUM BIG BELL;X 70;ESTERNO;
90017;Abutilon ESTERNO;MEGAPOTAMICUM PATRICK SYNGE;;ESTERNO;
109356;Abutilon ESTERNO;MIXKAR;;ESTERNO;
7910;Abutilon ESTERNO;OP STAM;;ESTERNO;
21046;Abutilon ESTERNO;OP STAM GEEL;;ESTERNO;
13835;Abutilon ESTERNO;OP STAM ORANJE;;ESTERNO;
13836;Abutilon ESTERNO;OP STAM ORANJEROOD;;ESTERNO;
13837;Abutilon ESTERNO;OP STAM ROOD;;ESTERNO;
13838;Abutilon ESTERNO;OP STAM ROZE;;ESTERNO;
13839;Abutilon ESTERNO;OP STAM WIT;;ESTERNO;
10286;Abutilon ESTERNO;ORANJE;H 80;ESTERNO;
10283;Abutilon ESTERNO;ORANJEROOD;X 70;ESTERNO;
12024;Abutilon ESTERNO;OVERIG;;ESTERNO;
319283;Abutilon ESTERNO;RED TRUMPET;H 80;ESTERNO;
10285;Abutilon ESTERNO;ROOD;X25;ESTERNO;
12025;Abutilon ESTERNO;ROZE;;ESTERNO;
10284;Abutilon ESTERNO;WIT;X 6;ESTERNO;
25402;Abutilon ESTERNO;YELLOW TRUMPET;X 20;ESTERNO;
9004;Abutilon VASO;GROENBLADIG;;PIANTE;
26242;Abutilon VASO;LITTLE SUN RED;X 70;PIANTE;
8013;Abutilon VASO;ROOD;X 70;PIANTE;
25401;Abutilon VASO;YELLOW TRUMPET;X 20;PIANTE;
101695;Acacia;BAILEYANA BLOEIEND PER BOS PURPUREA;;FIORI;
213;Acacia;BAILEYANA BLOEIEND PER BOS PURPUREADEALBATA GRP;X 20;FIORI;
12264;Acacia;BAILEYANA GROEN;;FIORI;
12263;Acacia;BAILEYANA GROEN PURPUREA;;FIORI;
212;Acacia;BLOEIEND DEALBATA GRP;X 20;FIORI;
101697;Acacia;CARDIOPHYLLA BLOEIEND PER BOS;;FIORI;
101696;Acacia;CARDIOPHYLLA GROEN;;FIORI;
15106;Acacia;DEALBATA GRP;;FIORI;
10958;Acacia;DECURRENS GROEN;;FIORI;
101953;Acacia;HOWITTII BLOEIEND CLAIR DE LUNE;;FIORI;
101954;Acacia;HOWITTII BLOEIEND PER BOS CLAIR DE LUNE;;FIORI;
102013;Acacia;RETINODES BLOEIEND PER BOS;X 20;FIORI;
102012;Acacia;RETINODES GROEN;X 20;FIORI;
101699;Acacia;X HAMBURYANA BLOEIEND PER BOS;;FIORI;
101698;Acacia;X HAMBURYANA GROEN;;FIORI;
40015;Acaena ESTERNO;BLUE HAZE;;ESTERNO;
40003;Acaena ESTERNO;BUCHANANII;H 110;ESTERNO;
40007;Acaena ESTERNO;MAGELLANICA;;ESTERNO;
40008;Acaena ESTERNO;MICROPHYLLA;;ESTERNO;
40010;Acaena ESTERNO;MICROPHYLLA KUPFERTEPPICH;X 6;ESTERNO;
9699;Acalypha VASO;HANG;;PIANTE;
9007;Acalypha VASO;HISPIDA;X 70;PIANTE;
28648;Acalypha VASO;MUSAICA;H 90;PIANTE;
9702;Acalypha VASO;STAM;;PIANTE;
40019;Acanthus ESTERNO;HUNGARICUS;X 12;ESTERNO;
40020;Acanthus ESTERNO;MOLLIS;;ESTERNO;
40022;Acanthus ESTERNO;SPINOSUS;X 9;ESTERNO;
;ACEBO;MULTICOLOR;;;
30031;Acer ESTERNO;BUERGERIANUM;;ESTERNO;
30033;Acer ESTERNO;CAMPESTRE;;ESTERNO;
30036;Acer ESTERNO;CAMPESTRE NANUM;;ESTERNO;
30043;Acer ESTERNO;CAPPADOCICUM;;ESTERNO;
30044;Acer ESTERNO;CAPPADOCICUM AUREUM;;ESTERNO;
30045;Acer ESTERNO;CAPPADOCICUM RUBRUM;;ESTERNO;
