Mar 01 12:51:17|5[info]01/03/2017 12:51:17 - [UTENTE = ][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0]
Mar 01 12:51:23|5[info]01/03/2017 12:51:23 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0]
Mar 01 12:51:47|5[info]01/03/2017 12:51:47 - [UTENTE = siso][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0]
Mar 01 12:51:49|5[info]01/03/2017 12:51:49 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ControllerError][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0]
Mar 01 12:51:56|5[info]01/03/2017 12:51:56 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0]
Mar 01 12:52:03|5[info]01/03/2017 12:52:03 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaClienti][pageID = 21][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0]
Mar 01 12:52:18|5[info]01/03/2017 12:52:18 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0]
Mar 01 12:52:27|5[info]01/03/2017 12:52:27 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ControllerError][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0]
Mar 01 12:52:31|5[info]01/03/2017 12:52:31 - [UTENTE = ][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0]
Mar 01 12:52:39|5[info]01/03/2017 12:52:39 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0]
Mar 01 12:52:43|5[info]01/03/2017 12:52:43 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ControllerError][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0]
Mar 01 12:52:52|5[info]01/03/2017 12:52:52 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Setup][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0]
Mar 01 12:53:08|5[info]01/03/2017 12:53:08 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Orders][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0]
Mar 01 12:53:59|5[info]01/03/2017 12:53:59 - [UTENTE = ][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0]
