Jan 05 14:10:32|5[info]05/01/2016 14:10:32 - [UTENTE = ][REMOTE IP = 66.249.93.42][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; rv:6.0) Gecko/20110814 Firefox/6.0 Google Favicon]
Jan 05 17:37:49|5[info]05/01/2016 17:37:49 - [UTENTE = ][REMOTE IP = 5.86.55.119][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Jan 05 17:37:51|5[info]05/01/2016 17:37:51 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.86.55.119][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Jan 05 17:39:23|5[info]05/01/2016 17:39:23 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.86.55.119][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Jan 05 17:39:31|5[info]05/01/2016 17:39:31 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.86.55.119][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Jan 05 17:41:43|5[info]05/01/2016 17:41:43 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.86.55.119][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Jan 05 17:41:52|5[info]05/01/2016 17:41:52 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.86.55.119][act = ListaUtenti][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Jan 05 17:42:00|5[info]05/01/2016 17:42:00 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.86.55.119][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Jan 05 17:42:10|5[info]05/01/2016 17:42:10 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.86.55.119][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Jan 05 17:42:38|5[info]05/01/2016 17:42:38 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.86.55.119][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Jan 05 17:42:44|5[info]05/01/2016 17:42:44 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.86.55.119][act = ListaUtenti][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Jan 05 17:43:17|5[info]05/01/2016 17:43:17 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.86.55.119][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Jan 05 17:43:27|5[info]05/01/2016 17:43:27 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.86.55.119][act = ListaUtenti][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
