Oct 07 10:05:05|5[info]07/10/2016 10:05:05 - [UTENTE = ][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0]
Oct 07 10:07:05|5[info]07/10/2016 10:07:05 - [UTENTE = ][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0]
Oct 07 10:14:40|5[info]07/10/2016 10:14:40 - [UTENTE = ][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0]
Oct 07 10:18:07|5[info]07/10/2016 10:18:07 - [UTENTE = ][REMOTE IP = 81.25.111.71][act = Login][username = ][pwd = ][button = LOGIN][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0]
Oct 07 10:28:58|5[info]07/10/2016 10:28:58 - [UTENTE = ][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0]
Oct 07 10:30:54|5[info]07/10/2016 10:30:54 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0]
Oct 07 10:31:00|5[info]07/10/2016 10:31:00 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Home][activate_account = 1][id_user = 215][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0]
Oct 07 11:08:05|5[info]07/10/2016 11:08:05 - [UTENTE = ][REMOTE IP = 151.28.39.198][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36]
Oct 07 11:08:08|5[info]07/10/2016 11:08:08 - [UTENTE = siso][REMOTE IP = 151.28.39.198][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36]
Oct 07 11:48:27|5[info]07/10/2016 11:48:27 - [UTENTE = ][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0]
Oct 07 11:48:32|5[info]07/10/2016 11:48:32 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0]
Oct 07 11:49:11|5[info]07/10/2016 11:49:11 - [UTENTE = siso][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0]
Oct 07 11:49:28|5[info]07/10/2016 11:49:28 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Orders][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0]
Oct 07 11:49:54|5[info]07/10/2016 11:49:54 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = SendOrder][id = 16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0]
Oct 07 11:50:35|5[info]07/10/2016 11:50:35 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = CaricaListinoDenDekker][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0]
Oct 07 11:50:59|5[info]07/10/2016 11:50:59 - [UTENTE = ][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0]
Oct 07 11:51:06|5[info]07/10/2016 11:51:06 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0]
Oct 07 11:51:09|5[info]07/10/2016 11:51:09 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0]
