Oct 10 10:06:44|5[info]10/10/2016 10:06:44 - [UTENTE = ][REMOTE IP = 151.28.39.198][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36]
Oct 10 10:06:47|5[info]10/10/2016 10:06:47 - [UTENTE = siso][REMOTE IP = 151.28.39.198][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36]
Oct 10 10:06:52|5[info]10/10/2016 10:06:52 - [UTENTE = siso][REMOTE IP = 151.28.39.198][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36]
Oct 10 10:06:54|5[info]10/10/2016 10:06:54 - [UTENTE = siso][REMOTE IP = 151.28.39.198][act = ListaClienti][search = 1][key_search = PAPRIKA DI CRISTIANO PAOLO ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36]
Oct 10 10:06:59|5[info]10/10/2016 10:06:59 - [UTENTE = siso][REMOTE IP = 151.28.39.198][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36]
Oct 10 10:07:03|5[info]10/10/2016 10:07:03 - [UTENTE = siso][REMOTE IP = 151.28.39.198][act = ListaUtenti][search = 1][key_search = PAPRIKA DI CRISTIANO PAOLO ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36]
Oct 10 10:07:09|5[info]10/10/2016 10:07:09 - [UTENTE = siso][REMOTE IP = 151.28.39.198][act = AjaxMergeUserToCustomer][id_user = 43][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36]
Oct 10 10:07:21|5[info]10/10/2016 10:07:21 - [UTENTE = siso][REMOTE IP = 151.28.39.198][act = Orders][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36]
Oct 10 10:07:40|5[info]10/10/2016 10:07:40 - [UTENTE = siso][REMOTE IP = 151.28.39.198][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36]
Oct 10 10:07:46|5[info]10/10/2016 10:07:46 - [UTENTE = siso][REMOTE IP = 151.28.39.198][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36]
Oct 10 10:07:50|5[info]10/10/2016 10:07:50 - [UTENTE = siso][REMOTE IP = 151.28.39.198][act = AjaxMergeUserToCustomer][id_user = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36]
Oct 10 10:07:53|5[info]10/10/2016 10:07:53 - [UTENTE = siso][REMOTE IP = 151.28.39.198][act = AjaxMergeUserToCustomer][search = 1][id_user = 1][key_search = PAPRIKA DI CRISTIANO PAOLO ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36]
