May 12 15:23:13|5[info]12/05/2016 15:23:13 - [UTENTE = ][REMOTE IP = 46.141.13.37][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:23:20|5[info]12/05/2016 15:23:20 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:23:48|5[info]12/05/2016 15:23:48 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:24:02|5[info]12/05/2016 15:24:02 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][rowForPage = 100][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:24:11|5[info]12/05/2016 15:24:11 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 22][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:24:17|5[info]12/05/2016 15:24:17 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 22][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:24:29|5[info]12/05/2016 15:24:29 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = AjaxMergeUserToCustomer][id_user = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:24:49|5[info]12/05/2016 15:24:49 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = AjaxMergeUserToCustomer][id_user = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:25:37|5[info]12/05/2016 15:25:37 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:25:43|5[info]12/05/2016 15:25:43 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][search = 1][key_search = test][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:25:46|5[info]12/05/2016 15:25:46 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:25:49|5[info]12/05/2016 15:25:49 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:25:53|5[info]12/05/2016 15:25:53 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = AjaxMergeUserToCustomer][id_user = 23][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:26:02|5[info]12/05/2016 15:26:02 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = AjaxMergeUserToCustomer][search = 1][id_user = 23][key_search = mar][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:26:11|5[info]12/05/2016 15:26:11 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = AjaxMergeUserToCustomer][search = 1][id_user = 23][key_search = del grano][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:26:20|5[info]12/05/2016 15:26:20 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = AjaxMergeUserToCustomer][id_user = 23][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:29:05|5[info]12/05/2016 15:29:05 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:38:45|5[info]12/05/2016 15:38:45 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:38:49|5[info]12/05/2016 15:38:49 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 9][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
