Oct 14 08:43:22|5[info]14/10/2017 08:43:22 - [UTENTE = ][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0]
Oct 14 08:43:27|5[info]14/10/2017 08:43:27 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0]
Oct 14 08:44:00|5[info]14/10/2017 08:44:00 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0]
Oct 14 08:44:09|5[info]14/10/2017 08:44:09 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0]
Oct 14 08:44:13|5[info]14/10/2017 08:44:13 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][pageID = 3][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0]
Oct 14 08:44:17|5[info]14/10/2017 08:44:17 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][pageID = 4][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0]
Oct 14 08:44:22|5[info]14/10/2017 08:44:22 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][pageID = 5][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0]
Oct 14 08:44:27|5[info]14/10/2017 08:44:27 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][pageID = 6][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0]
Oct 14 08:44:31|5[info]14/10/2017 08:44:31 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][pageID = 7][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0]
Oct 14 08:44:36|5[info]14/10/2017 08:44:36 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][pageID = 8][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0]
Oct 14 08:44:41|5[info]14/10/2017 08:44:40 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = AjaxMergeUserToCustomer][id_user = 106][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0]
