Dec 14 14:01:25|5[info]14/12/2017 14:01:25 - [UTENTE = ][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
Dec 14 14:01:39|5[info]14/12/2017 14:01:39 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
Dec 14 14:02:07|5[info]14/12/2017 14:02:07 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Setup][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
Dec 14 14:02:09|5[info]14/12/2017 14:02:09 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Setup][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
Dec 14 14:02:34|5[info]14/12/2017 14:02:34 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ControllerError][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
Dec 14 14:02:37|5[info]14/12/2017 14:02:37 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Setup][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
Dec 14 14:03:10|5[info]14/12/2017 14:03:10 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Setup][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
Dec 14 14:03:19|5[info]14/12/2017 14:03:19 - [UTENTE = siso][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
Dec 14 14:03:24|5[info]14/12/2017 14:03:24 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ControllerError][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
Dec 14 14:03:35|5[info]14/12/2017 14:03:35 - [UTENTE = ][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
Dec 14 14:03:38|5[info]14/12/2017 14:03:38 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
Dec 14 14:03:59|5[info]14/12/2017 14:03:59 - [UTENTE = siso][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
Dec 14 14:04:08|5[info]14/12/2017 14:04:08 - [UTENTE = siso][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
Dec 14 14:04:45|5[info]14/12/2017 14:04:45 - [UTENTE = siso][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0]
