Nov 25 14:22:29|5[info]25/11/2014 14:22:29 - [UTENTE = ][REMOTE IP = 79.42.219.47][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36]
Nov 25 14:23:08|5[info]25/11/2014 14:23:08 - [UTENTE = ][REMOTE IP = 79.42.219.47][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36]
Nov 25 14:23:11|5[info]25/11/2014 14:23:11 - [UTENTE = siso][REMOTE IP = 79.42.219.47][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36]
Nov 25 14:23:15|5[info]25/11/2014 14:23:15 - [UTENTE = siso][REMOTE IP = 79.42.219.47][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36]
Nov 25 14:23:18|5[info]25/11/2014 14:23:18 - [UTENTE = siso][REMOTE IP = 79.42.219.47][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36]
Nov 25 14:23:20|5[info]25/11/2014 14:23:20 - [UTENTE = siso][REMOTE IP = 79.42.219.47][act = AjaxMergeUserToCustomer][id_user = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36]
Nov 25 14:23:58|5[info]25/11/2014 14:23:58 - [UTENTE = siso][REMOTE IP = 79.42.219.47][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36]
Nov 25 14:24:48|5[info]25/11/2014 14:24:48 - [UTENTE = siso][REMOTE IP = 79.42.219.47][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36]
Nov 25 14:24:50|5[info]25/11/2014 14:24:50 - [UTENTE = siso][REMOTE IP = 79.42.219.47][act = ListaUtenti][search = 1][key_search = 0001359][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36]
Nov 25 14:25:29|5[info]25/11/2014 14:25:29 - [UTENTE = siso][REMOTE IP = 79.42.219.47][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36]
Nov 25 14:25:32|5[info]25/11/2014 14:25:32 - [UTENTE = siso][REMOTE IP = 79.42.219.47][act = AjaxMergeUserToCustomer][id_user = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36]
Nov 25 14:25:34|5[info]25/11/2014 14:25:34 - [UTENTE = siso][REMOTE IP = 79.42.219.47][act = AjaxMergeUserToCustomer][search = 1][id_user = 1][key_search = REBBA DAVIDE][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36]
