Jun 28 10:46:57|5[info]28/06/2016 10:46:57 - [UTENTE = ][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 10:51:36|5[info]28/06/2016 10:51:36 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 10:51:44|5[info]28/06/2016 10:51:44 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 10:52:01|5[info]28/06/2016 10:52:01 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = AjaxMergeUserToCustomer][id_user = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 10:52:19|5[info]28/06/2016 10:52:19 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = AjaxMergeUserToCustomer][id_user = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 10:52:31|5[info]28/06/2016 10:52:31 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = AjaxMergeUserToCustomer][search = 1][id_user = 1][key_search = EDEN ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 10:53:23|5[info]28/06/2016 10:53:23 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = AjaxMergeUserToCustomer][id_user = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 10:53:38|5[info]28/06/2016 10:53:38 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 10:53:53|5[info]28/06/2016 10:53:53 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = AjaxMergeUserToCustomer][id_user = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 10:57:39|5[info]28/06/2016 10:57:39 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 10:57:53|5[info]28/06/2016 10:57:53 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = AjaxMergeUserToCustomer][id_user = 26][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 10:58:54|5[info]28/06/2016 10:58:54 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = AjaxMergeUserToCustomer][id_user = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 10:59:27|5[info]28/06/2016 10:59:27 - [UTENTE = siso][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 10:59:38|5[info]28/06/2016 10:59:38 - [UTENTE = siso][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:01:10|5[info]28/06/2016 11:01:10 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:01:27|5[info]28/06/2016 11:01:27 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][delete = 1][id = 26][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:01:29|5[info]28/06/2016 11:01:29 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:01:35|5[info]28/06/2016 11:01:35 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:01:42|5[info]28/06/2016 11:01:42 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:01:57|5[info]28/06/2016 11:01:57 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:02:01|5[info]28/06/2016 11:02:01 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][pageID = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
