Dec 29 04:20:20|5[info]29/12/2015 04:20:20 - [UTENTE = ][REMOTE IP = 76.88.36.10][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 04:20:25|5[info]29/12/2015 04:20:25 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 04:20:59|5[info]29/12/2015 04:20:59 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 04:21:52|5[info]29/12/2015 04:21:52 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 04:22:32|5[info]29/12/2015 04:22:32 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 04:22:42|5[info]29/12/2015 04:22:42 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaUtenti][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 04:22:51|5[info]29/12/2015 04:22:51 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = AjaxMergeUserToCustomer][id_user = 17][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 04:23:02|5[info]29/12/2015 04:23:02 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = AjaxMergeUserToCustomer][id_user = 17][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 04:23:34|5[info]29/12/2015 04:23:34 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = Setup][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 04:23:47|5[info]29/12/2015 04:23:47 - [UTENTE = ][REMOTE IP = 76.88.36.10][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 04:24:42|5[info]29/12/2015 04:24:42 - [UTENTE = ][REMOTE IP = 76.88.36.10][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
